Form	75 73 104 79
adoption	401 808 453 818
taxpayer 	87 818 138 828
identification 	140 818 215 828
number 	218 818 263 828
(	265 818 270 828
ATIN	269 818 296 828
)	298 818 301 828
, 	302 818 303 828
or 	308 818 320 828
employer 	323 818 377 828
identification 	380 818 454 828
number	458 818 502 828
(	86 829 92 838
EIN	90 828 111 838
)	110 828 115 838
, 	115 828 117 838
to 	121 828 133 838
report 	137 828 171 838
on 	174 828 189 838
an 	193 828 208 838
information 	211 828 276 838
return 	279 828 313 838
the 	316 828 335 838
amount 	338 828 382 838
paid 	386 828 411 838
to 	415 828 425 838
you	428 828 450 838
, 	451 828 453 838
or 	458 828 469 838
other	472 828 503 838
amount 	86 839 133 848
reportable 	135 839 194 848
on 	197 839 211 848
an 	215 839 229 848
information 	233 839 298 848
return	302 839 335 848
. 	336 839 338 848
Examples 	342 839 399 848
of 	402 839 415 848
information	417 839 483 848
returns 	88 850 128 859
include	130 850 174 859
, 	174 850 177 859
but 	180 850 199 859
are 	202 850 221 859
not 	225 850 243 859
limited 	246 850 284 859
to	289 850 300 859
, 	301 850 303 859
the 	307 850 325 859
following	329 850 381 859
.	381 850 384 859
• 	88 863 95 872
Form 	99 863 128 872
1099	133 863 161 872
-	161 863 165 872
INT 	166 863 187 872
(	189 863 192 872
interest 	192 863 235 872
earned 	239 863 279 872
or 	282 863 294 872
paid	298 863 323 872
)	322 863 325 872
Cat	406 893 425 899
. 	425 893 427 899
No. 	430 893 447 899
10231X	451 893 490 899
Date 	651 658 683 664
►	678 658 690 664
25.5.2012	713 650 878 670
• 	538 677 545 686
Form 	549 676 578 686
1099	582 676 610 686
-	611 676 615 686
DIV 	616 676 637 686
(	639 676 643 686
dividends	643 676 699 686
, 	699 676 702 686
including 	706 676 759 686
those 	762 676 795 686
from 	798 676 825 686
stocks 	829 676 867 686
or 	870 676 882 686
mutual	886 676 925 686
funds	537 687 571 695
)	567 687 575 695
• 	538 701 545 711
Form 	549 700 578 710
1099	584 700 611 710
-	612 700 616 710
MISC 	616 700 648 710
(	652 700 656 710
various 	656 700 697 710
types 	701 700 733 710
of 	736 700 749 710
income	751 700 794 710
, 	794 700 797 710
prizes	801 700 835 710
, 	837 700 838 710
awards	842 700 885 710
, 	885 700 888 710
or 	892 700 904 710
gross	908 700 939 710
proceeds	537 711 593 720
)	590 711 597 720
• 	539 724 546 733
Form 	549 724 580 733
1099	582 724 612 733
-	612 724 616 733
B 	616 724 625 733
(	629 724 632 733
stock 	632 724 664 733
or 	668 724 680 733
mutual 	684 724 722 733
fund 	726 724 752 733
sales 	756 724 786 733
and 	789 724 811 733
certain 	814 724 854 733
other	858 724 888 733
transactions 	538 735 610 744
by 	614 735 628 744
brokers	632 735 676 744
)	674 735 678 744
• 	540 748 546 758
Form 	550 748 579 758
1099	585 748 612 758
-	613 748 617 758
S 	617 748 625 758
(	628 748 632 758
proceeds 	632 748 687 758
from 	691 748 717 758
real 	722 748 741 758
estate 	745 748 781 758
transactions	785 748 856 758
)	856 748 860 758
• 	539 762 546 772
Form 	550 762 580 772
1099	584 762 613 772
-	613 762 617 772
K 	618 762 627 772
(	628 762 632 772
merchant 	634 762 688 772
card 	691 762 717 772
and 	720 762 743 772
third 	747 762 773 772
party 	776 762 806 772
network 	810 762 856 772
transactions	859 762 930 772
)	930 762 935 772
• 	540 776 547 785
Form 	550 776 580 785
1098 	585 776 613 785
(	616 776 619 785
home 	619 776 652 785
mortgage 	656 776 712 785
interest	715 776 758 785
)	757 776 760 785
, 	762 776 765 785
1098	770 776 798 785
-	798 776 802 785
E 	803 776 811 785
(	814 776 817 785
student 	817 776 861 785
loan 	864 776 889 785
interest	894 776 936 785
)	935 776 939 785
,	941 776 944 785
1098	538 786 569 796
-	569 786 573 796
T 	573 786 583 796
(	583 786 588 796
tuition	588 786 624 796
)	622 786 627 796
• 	540 800 547 809
Form 	551 800 581 809
1099	584 800 613 809
-	613 800 618 809
C 	617 800 628 809
(	629 800 634 809
canceled 	635 800 687 809
debt	690 800 716 809
)	716 800 720 809
• 	540 813 548 823
Form 	551 813 580 823
1099	584 813 612 823
-	612 813 616 823
A 	616 813 625 823
(	628 813 631 823
acquisition 	632 813 693 823
or 	696 813 708 823
abandonment 	712 813 791 823
of 	794 813 806 823
secured 	809 813 854 823
property	858 813 907 823
)	905 813 909 823
Use 	553 828 578 837
Form 	581 828 609 837
W	613 828 627 837
-	626 828 631 837
9 	629 828 637 837
only 	642 828 666 837
if 	669 828 676 837
you 	679 828 700 837
are 	704 828 722 837
a 	726 828 733 837
U.S. 	737 828 761 837
person 	765 828 805 837
(	808 828 812 837
including 	812 828 864 837
a 	869 828 876 837
resident	880 828 926 837
alien	540 838 568 847
)	565 838 570 847
, 	571 838 573 847
to 	578 838 589 847
provide 	593 838 637 847
your 	639 838 666 847
correct 	669 838 710 847
TIN	713 838 732 847
.	734 838 736 847
If 	553 851 563 860
you 	562 851 585 860
do 	588 851 604 860
not 	607 851 627 860
return 	629 851 663 860
Form 	667 851 697 860
W	701 851 715 860
-	714 851 718 860
9 	719 851 726 860
to 	730 851 741 860
the 	745 851 762 860
requester 	766 851 822 860
with 	825 851 848 860
a 	852 851 859 860
TIN	863 851 883 860
, 	883 851 886 860
you 	889 851 910 860
might	914 851 947 860
be 	540 861 556 871
subject 	558 861 602 871
to 	605 861 616 871
backup 	619 861 662 871
withholding	665 861 732 871
. 	732 861 735 871
See 	740 861 763 871
What 	765 861 796 871
is 	800 861 809 871
backup 	813 861 856 871
withholding	858 861 926 871
,	928 861 930 871
later	540 872 567 879
.	565 872 569 879
Form 	824 889 849 899
W	851 889 868 899
-	869 889 874 899
9 	873 889 883 899
(	887 889 891 899
Rev. 	891 889 912 899
10-2018	916 889 958 899
)	957 889 961 899

Form	89 122 116 127
W	123 108 160 129
-	154 108 169 129
9	168 108 189 129
Request 	403 110 483 123
for 	488 110 514 123
Taxpayer	521 110 608 123
Give 	794 117 829 124
Form 	829 117 864 124
to 	867 117 881 124
the	885 117 906 124
(	88 132 95 140
Rev. 	92 132 114 140
October 	117 132 157 140
2018	159 132 184 140
)	182 132 187 140
Identification 	320 125 444 137
Number 	452 125 525 137
and 	533 125 566 137
Certification	573 125 691 137
requester	796 129 860 138
. 	860 129 863 138
Do 	867 129 885 138
not	890 129 911 138
Department 	88 142 143 150
of 	145 142 155 150
the 	155 142 171 150
Treasury	173 142 212 150
send 	796 140 828 148
to 	831 140 845 147
the 	848 140 870 147
IRS	874 140 897 147
.	897 140 900 147
Internal 	88 150 123 157
Revenue 	125 150 165 157
Service	167 150 201 157
Go 	302 149 323 158
to 	325 149 337 158
www.irs.gov/FormW9 	339 149 467 158
for 	471 149 487 158
instructions 	491 149 560 158
and 	563 149 586 158
the 	588 149 607 158
latest 	610 149 644 158
information	647 149 714 158
.	714 149 718 158
1 	128 162 138 170
Name 	140 162 171 170
(	172 162 176 170
as 	176 162 187 170
shown 	190 162 222 170
on 	226 162 237 170
your 	240 162 262 170
income 	264 162 300 170
tax 	302 162 318 170
return	320 162 348 170
)	348 162 351 170
. 	352 162 354 170
Name 	356 162 386 170
is 	388 162 397 170
required 	399 162 439 170
on 	442 162 455 170
this 	457 162 474 170
line	477 162 494 170
; 	494 162 497 170
do 	499 162 513 170
not 	516 162 531 170
leave 	533 162 559 170
this 	561 162 580 170
line 	582 162 599 170
blank	600 162 628 170
.	628 162 631 170
Anita 	126 176 165 186
Gray	165 176 201 186
2 	127 188 138 196
Business 	140 188 186 196
name	188 188 215 196
/	212 188 220 196
disregarded 	218 188 276 196
entity 	279 188 306 196
name	308 188 336 196
, 	335 188 338 196
if 	340 188 348 196
different 	349 188 390 196
from 	392 188 414 196
above	417 188 447 196
3 	127 216 136 224
Check 	140 216 173 224
appropriate 	176 216 232 224
box 	234 216 252 224
for 	255 216 268 224
federal 	271 216 303 224
tax 	308 216 323 224
classification 	325 216 387 224
of 	390 216 400 224
the 	402 216 418 224
person 	420 216 453 224
whose 	455 216 488 224
name 	491 216 518 224
is 	521 216 529 224
entered 	531 216 569 224
on 	572 216 583 224
line 	586 216 603 224
1. 	606 216 615 224
Check 	617 216 649 224
only 	652 216 672 224
one 	675 216 694 224
of 	697 216 707 224
the	709 216 725 224
following 	140 225 186 233
seven 	187 225 217 233
boxes	218 225 248 233
.	249 225 253 233
4 	738 216 747 224
Exemptions 	750 216 807 224
(	810 216 814 224
codes 	814 216 843 224
apply 	845 216 873 224
only 	875 216 895 224
to	898 216 908 224
certain 	738 225 772 232
entities	773 225 809 232
, 	810 225 812 232
not 	815 225 831 232
individuals	834 225 884 232
; 	883 225 886 232
see	890 225 907 232
instructions 	738 233 794 242
on 	798 233 810 242
page 	812 233 838 242
3	838 233 846 242
)	843 233 848 242
:	848 233 852 242
☐	135 242 148 251
Individual	155 245 205 253
/	202 245 207 253
sole 	205 245 230 253
proprietor 	229 245 277 253
or	279 245 290 253
☐ 	311 240 324 249
☐ 	422 240 434 249
☐	532 240 544 249
C 	329 244 342 252
Corporation 	339 244 401 251
S 	437 244 450 252
Corporation 	446 244 511 252
Partnership	550 244 608 251
☐	643 240 655 249
Trust	660 244 689 250
/	683 244 691 250
estate	690 244 721 250
single	155 254 194 261
-	185 254 189 261
member 	187 254 229 261
LLC	230 254 251 261
Exempt 	736 255 774 264
payee 	776 255 806 264
code 	808 255 832 264
(	832 255 838 264
if 	836 255 843 264
any	844 255 863 264
)	859 255 864 264
☐	135 269 148 278
☑	136 319 148 328
Limited 	155 271 193 279
liability 	195 271 229 279
company	231 271 276 279
. 	276 271 279 279
Enter 	280 271 308 279
the 	309 271 325 279
tax 	328 271 343 279
classification 	346 271 407 279
(	410 271 414 279
C	413 271 420 279
=	422 271 427 279
C 	427 271 435 279
corporation	439 271 493 279
, 	494 271 496 279
S	499 271 506 279
=	508 271 513 279
S 	512 271 520 279
corporation	524 271 578 279
, 	580 271 581 279
P	584 271 591 279
=	592 271 597 279
Partnership	598 271 653 279
) 	652 271 655 279
►	657 271 667 279
Note	154 282 182 291
: 	179 282 183 291
Check 	186 282 218 291
the 	220 282 236 291
appropriate 	239 282 295 291
box 	298 282 316 291
in 	318 282 327 291
the 	330 282 346 291
line 	348 282 365 291
above 	368 282 397 291
for 	400 282 414 291
the 	417 282 431 291
tax 	435 282 449 291
classification 	452 282 513 291
of 	517 282 527 291
the 	530 282 545 291
single	547 282 576 291
-	577 282 580 291
member 	580 282 621 291
owner	623 282 653 291
. 	653 282 656 291
Do 	660 282 676 291
not 	678 282 694 291
check	697 282 725 291
LLC 	155 290 177 299
if 	179 290 189 298
the 	187 290 203 298
LLC 	205 290 226 298
is 	228 290 236 298
classified 	239 290 284 298
as 	287 290 298 298
a 	301 290 307 298
single	310 290 338 298
-	338 290 342 298
member 	342 290 382 298
LLC 	384 290 404 298
that 	408 290 426 298
is 	429 290 437 298
disregarded 	439 290 497 298
from 	500 290 522 298
the 	525 290 541 298
owner 	543 290 574 298
unless 	577 290 608 298
the 	610 290 625 298
owner 	628 290 658 298
of 	661 290 671 298
the 	674 290 689 298
LLC 	691 290 711 298
is	714 290 724 298
another 	154 299 193 307
LLC 	195 299 215 307
that 	217 299 237 307
is 	240 299 248 307
not 	251 299 268 307
disregarded 	270 299 328 307
from 	330 299 353 307
the 	355 299 371 307
owner 	374 299 404 307
for 	407 299 420 307
U.S. 	422 299 443 307
federal 	446 299 478 307
tax 	482 299 497 307
purposes	500 299 545 307
. 	546 299 548 307
Otherwise	550 299 600 307
, 	600 299 603 307
a 	606 299 612 307
single	615 299 643 307
-	643 299 646 307
member 	647 299 687 307
LLC 	689 299 709 307
that	711 299 731 307
is 	155 308 171 316
disregarded 	165 308 225 316
from 	227 308 249 316
the 	252 308 268 316
owner 	271 308 301 316
should 	303 308 336 316
check 	339 308 367 316
the 	370 308 386 316
appropriate 	388 308 444 316
box 	447 308 465 316
for 	468 308 481 316
the 	484 308 500 316
tax 	502 308 518 316
classification 	520 308 582 316
of 	585 308 596 316
its 	597 308 609 316
owner	611 308 642 316
.	642 308 644 316
Other 	154 321 185 329
(	183 321 190 328
see 	188 321 208 328
instructions	209 321 264 328
) 	264 321 267 328
►	270 321 278 328
5 	128 332 138 340
Address 	139 332 182 340
(	183 332 187 340
number	187 332 224 340
, 	224 332 226 340
street	230 332 256 340
, 	258 332 260 340
and 	262 332 281 340
apt	284 332 300 340
, 	300 332 302 340
or 	305 332 315 340
suite 	318 332 341 340
no	344 332 356 340
.	355 332 358 340
) 	359 332 362 340
See 	365 332 384 340
instructions	387 332 443 340
.	443 332 446 340
4 	126 347 138 353
Nolton 	138 347 183 353
Street	186 347 226 353
6 	128 358 138 366
City	139 358 160 366
, 	160 358 163 366
state	165 358 190 366
, 	190 358 192 366
and 	195 358 214 366
ZIP 	216 358 233 366
code	236 358 261 366
Bridgend	126 372 189 382
, 	189 372 191 382
Bridgend 	196 372 256 382
County 	261 372 308 382
Borough	313 372 369 382
, 	370 372 372 382
CF31 	377 372 409 382
1DU	415 372 442 382
7 	127 385 136 393
List 	139 385 159 393
account 	160 385 199 393
number	202 385 239 393
(	237 385 242 393
s	241 385 248 393
) 	246 385 250 393
here 	252 385 274 393
(	274 385 280 393
optional	280 385 318 393
)	317 385 321 393
Part 	96 411 133 419
I	133 411 138 419
Taxpayer 	173 410 243 422
Identification 	248 410 342 422
Number 	347 410 405 422
(	408 410 417 422
TIN	412 410 439 422
)	436 410 443 422
017166039959EUR	459 398 582 406
Exemption 	737 282 789 291
from 	792 282 814 291
FATCA 	818 282 851 291
reporting	855 282 898 291
code 	737 294 773 303
(	762 294 770 302
if 	768 294 776 302
any	775 294 795 302
)	791 294 798 302
(	737 320 745 326
Applies 	738 320 766 326
to 	767 320 775 326
accounts 	775 320 807 326
maintained 	809 320 848 326
outside 	849 320 875 326
the 	876 320 888 326
US	889 320 903 326
.	900 320 908 326
)	901 320 907 326
Requester's 	638 331 695 340
name 	698 331 726 340
and 	728 331 746 340
address 	749 331 788 340
(	790 331 795 340
optional	793 331 832 340
)	831 331 835 340
Enter 	88 424 118 434
your 	121 424 147 434
TIN 	149 424 168 434
in 	172 424 182 434
the 	185 424 202 434
appropriate 	206 424 270 434
box	273 424 293 434
. 	294 424 296 434
The 	299 424 321 434
TIN 	323 424 343 434
provided 	347 424 395 434
must 	399 424 426 434
match 	430 424 464 434
the 	466 424 484 434
name 	488 424 518 434
given 	521 424 551 434
on 	555 424 568 434
line 	572 424 591 434
1 	596 424 600 434
to 	604 424 616 434
avoid	618 424 650 434
backup 	88 435 132 444
withholding	133 435 198 444
. 	198 435 201 444
For 	205 435 223 444
individuals	225 435 284 444
, 	285 435 287 444
this 	291 435 311 444
is 	314 435 323 444
generally 	327 435 376 444
your 	378 435 403 444
social 	407 435 438 444
security 	442 435 486 444
number 	488 435 531 444
(	533 435 537 444
SSN	537 435 562 444
)	562 435 565 444
. 	566 435 569 444
However	573 435 622 444
, 	622 435 624 444
for 	628 435 643 444
a	647 435 653 444
resident 	90 444 134 453
alien	138 444 163 453
, 	164 444 167 453
sole 	170 444 192 453
proprietor	196 444 251 453
, 	251 444 253 453
or 	257 444 268 453
disregarded 	272 444 337 453
entity	340 444 371 453
, 	371 444 374 453
see 	377 444 397 453
the 	400 444 418 453
instructions 	422 444 484 453
for 	488 444 503 453
Part 	507 444 529 453
I	531 444 535 453
, 	537 444 539 453
later	543 444 566 453
. 	568 444 570 453
For 	574 444 592 453
other	595 444 624 453
entities	88 453 129 464
, 	129 453 133 463
it 	136 453 143 463
is 	146 453 155 463
your 	157 453 183 463
employer 	185 453 238 463
identification 	240 453 310 463
number 	314 453 356 463
(	358 453 363 463
EIN	362 453 381 463
)	381 453 385 463
. 	386 453 388 463
If 	386 453 399 463
you 	401 453 422 463
do 	425 453 440 463
not 	443 453 461 463
have 	464 453 491 463
a 	494 453 501 463
number	505 453 547 463
, 	547 453 549 463
see 	553 453 573 463
How 	575 453 602 463
to 	605 453 616 463
get 	619 453 637 463
a	640 453 647 463
TIN	89 464 109 472
, 	107 464 111 472
later	116 464 141 472
.	140 464 143 472
Note	88 477 120 485
: 	116 477 121 485
If 	124 477 133 485
the 	135 477 154 485
account 	156 477 201 485
is 	204 477 213 485
in 	216 477 226 485
more 	229 477 258 485
than 	261 477 285 485
one 	288 477 309 485
name	312 477 343 485
, 	343 477 346 485
see 	349 477 368 485
the 	371 477 390 485
instructions 	393 477 456 485
for 	460 477 475 485
line 	478 477 497 485
1. 	501 477 511 485
Also 	513 477 538 485
see 	542 477 562 485
What 	563 477 593 485
Name 	595 477 629 485
and	631 477 652 485
Number 	86 487 136 496
To 	136 487 152 496
Give 	153 487 180 496
the 	183 487 201 496
Requester 	205 487 261 496
for 	263 487 279 496
guidelines 	282 487 338 496
on 	341 487 355 496
whose 	357 487 394 496
number 	397 487 440 496
to 	443 487 454 496
enter	456 487 487 496
.	486 487 488 496
Social 	681 423 714 431
security 	718 423 759 431
number	761 423 800 431
568	681 445 737 453
or	675 466 691 471
03	769 446 803 453
4417	835 445 912 453
Employer 	680 476 732 483
identification 	735 476 800 483
number	804 476 844 483
Part 	93 517 135 524
II	130 517 139 524
Certification	174 516 264 524
Under 	88 530 124 539
penalties 	127 530 177 539
of 	180 530 191 539
perjury	195 530 232 539
, 	233 530 235 539
I 	239 530 244 539
certify 	246 530 280 539
that	281 530 305 539
:	302 530 307 539
1. 	89 542 99 552
The 	102 542 127 552
number 	128 542 171 552
shown 	173 542 209 552
on 	213 542 227 552
this 	230 542 250 552
form 	253 542 278 552
is 	282 542 292 552
my 	295 542 311 552
correct 	314 542 353 552
taxpayer 	356 542 404 552
identification 	408 542 477 552
number 	481 542 524 552
(	527 542 531 552
or 	530 542 541 552
I 	545 542 548 552
am 	551 542 568 552
waiting 	571 542 611 552
for 	615 542 629 552
a 	632 542 640 552
number 	643 542 685 552
to 	688 542 699 552
be 	701 542 716 552
issued 	719 542 754 552
to 	758 542 770 552
me	773 542 790 552
)	788 542 792 552
; 	793 542 796 552
and	800 542 820 552
2. 	88 553 101 562
I 	101 553 108 562
am 	110 553 127 562
not 	130 553 149 562
subject 	151 553 192 562
to 	196 553 207 562
backup 	210 553 251 562
withholding 	254 553 317 562
because	321 553 368 562
: 	368 553 371 562
(	373 553 377 562
a	377 553 385 562
) 	383 553 387 562
I 	391 553 395 562
am 	397 553 414 562
exempt 	418 553 459 562
from 	462 553 488 562
backup 	491 553 533 562
withholding	536 553 599 562
, 	600 553 602 562
or 	606 553 618 562
(	619 553 624 562
b	624 553 631 562
) 	630 553 634 562
I 	638 553 641 562
have 	644 553 671 562
not 	674 553 691 562
been 	695 553 722 562
notified 	725 553 766 562
by 	769 553 784 562
the 	785 553 804 562
Internal 	807 553 847 562
Revenue	851 553 900 562
Service 	104 562 146 572
(	146 562 151 572
IRS	150 562 170 572
) 	170 562 173 572
that 	177 562 198 572
I 	202 562 204 572
am 	208 562 225 572
subject 	229 562 269 572
to 	272 562 283 572
backup 	287 562 327 572
withholding 	331 562 393 572
as 	397 562 410 572
a 	414 562 420 572
result 	424 562 455 572
of 	458 562 469 572
a 	471 562 478 572
failure 	481 562 515 572
to 	518 562 529 572
report 	533 562 566 572
all 	569 562 581 572
interest 	585 562 626 572
or 	629 562 640 572
dividends	643 562 696 572
, 	697 562 699 572
or 	703 562 715 572
(	716 562 721 572
c	720 562 728 572
) 	727 562 731 572
the 	734 562 751 572
IRS 	754 562 774 572
has 	778 562 797 572
notified 	801 562 841 572
me 	845 562 862 572
that 	864 562 886 572
I 	889 562 892 572
am	897 562 913 572
no 	103 573 117 582
longer 	120 573 156 582
subject 	160 573 199 582
to 	203 573 214 582
backup 	217 573 258 582
withholding	260 573 325 582
; 	324 573 328 582
and	331 573 353 582
3. 	88 587 100 597
I 	102 587 107 597
am 	110 587 127 597
a 	130 587 138 597
U.S. 	140 587 164 597
citizen 	168 587 203 597
or 	207 587 218 597
other 	221 587 250 597
U.S. 	254 587 276 597
person 	280 587 318 597
(	320 587 324 597
defined 	325 587 366 597
below	369 587 402 597
)	401 587 405 597
; 	405 587 408 597
and	412 587 433 597
4. 	88 600 99 609
The 	102 600 124 609
FATCA 	129 600 167 609
code	170 600 198 609
(	197 600 201 609
s	201 600 207 609
) 	206 600 210 609
entered 	213 600 256 609
on 	259 600 273 609
this 	276 600 296 609
form 	299 600 325 609
(	326 600 330 609
if 	331 600 338 609
any	340 600 361 609
) 	359 600 362 609
indicating 	366 600 419 609
that 	424 600 444 609
I 	448 600 450 609
am 	455 600 472 609
exempt 	475 600 516 609
from 	521 600 546 609
FATCA 	549 600 588 609
reporting 	591 600 641 609
is 	644 600 654 609
correct	656 600 696 609
.	696 600 698 609
Certification 	88 613 159 622
instructions	161 613 228 622
. 	229 613 231 622
You 	234 613 255 622
must 	259 613 285 622
cross 	287 613 316 622
out 	320 613 336 622
item 	339 613 362 622
2 	365 613 372 622
above 	374 613 407 622
if 	411 613 417 622
you 	418 613 439 622
have 	441 613 466 622
been 	469 613 496 622
notified 	499 613 538 622
by 	540 613 554 622
the 	557 613 574 622
IRS 	576 613 595 622
that 	599 613 619 622
you 	622 613 641 622
are 	644 613 661 622
currently 	664 613 710 622
subject 	712 613 751 622
to 	754 613 764 622
backup 	767 613 806 622
withholding 	809 613 869 622
because	873 613 917 622
you 	88 623 109 632
have 	111 623 138 632
failed 	140 623 168 632
to 	171 623 182 632
report 	186 623 217 632
all 	220 623 231 632
interest 	234 623 273 632
and 	276 623 296 632
dividends 	299 623 349 632
on 	353 623 367 632
your 	368 623 392 632
tax 	395 623 412 632
return	415 623 445 632
. 	446 623 448 632
For 	452 623 469 632
real 	472 623 491 632
estate 	494 623 527 632
transactions	530 623 593 632
, 	595 623 598 632
item 	600 623 623 632
2 	625 623 633 632
does 	635 623 662 632
not 	665 623 682 632
apply	684 623 714 632
. 	713 623 716 632
For 	720 623 738 632
mortgage 	741 623 791 632
interest 	792 623 833 632
paid	835 623 859 632
,	859 623 862 632
acquisition 	89 632 145 642
or 	149 632 160 641
abandonment 	162 632 236 641
of 	239 632 250 641
secured 	252 632 294 641
property	297 632 342 641
, 	342 632 344 641
cancellation 	348 632 411 641
of 	414 632 425 641
debt	427 632 451 641
, 	451 632 453 641
contributions 	458 632 526 641
to 	530 632 540 641
an 	543 632 555 641
individual 	559 632 607 641
retirement 	612 632 665 641
arrangement 	668 632 734 641
(	736 632 740 641
IRA	740 632 759 641
)	757 632 761 641
, 	761 632 765 641
and 	767 632 787 641
generally	791 632 838 641
, 	837 632 839 641
payments	844 632 895 641
other 	88 642 118 651
than 	118 642 144 651
interest 	145 642 185 651
and 	188 642 208 651
dividends	211 642 262 651
, 	261 642 264 651
you 	268 642 287 651
are 	290 642 307 651
not 	311 642 327 651
required 	331 642 374 651
to 	377 642 387 651
sign 	391 642 412 651
the 	415 642 432 651
certification	435 642 495 651
, 	496 642 499 651
but 	502 642 520 651
you 	522 642 541 651
must 	546 642 571 651
provide 	574 642 613 651
your 	616 642 640 651
correct 	643 642 679 651
TIN	682 642 700 651
. 	701 642 703 651
See 	706 642 728 651
the 	731 642 747 651
instructions 	750 642 811 651
for 	814 642 829 651
Part 	831 642 853 651
II	854 642 861 651
, 	863 642 866 651
later	867 642 892 651
.	891 642 894 651
Sign	87 659 123 670
Here	88 670 126 678
Signature 	151 664 210 672
of	205 664 220 672
U.S. 	152 673 174 681
person	177 673 217 680
Ask 	234 658 308 685
Gray	305 658 400 685
General 	88 692 168 703
Instructions	177 692 297 703
Section 	89 711 132 718
references 	136 711 193 718
are 	196 711 213 718
to 	217 711 228 718
the 	231 711 249 718
Internal 	252 711 292 718
Revenue 	296 711 344 718
Code 	347 711 377 718
unless 	381 711 416 718
otherwise	420 711 473 718
noted	88 721 122 728
.	121 721 126 727
Future 	89 734 132 743
developments	131 734 214 743
. 	215 734 217 743
For 	221 734 240 743
the 	242 734 259 743
latest 	262 734 293 743
information 	297 734 358 743
about 	361 734 393 743
developments	395 734 474 743
related 	89 743 128 752
to 	130 743 142 752
Form 	145 743 173 752
W	176 743 189 752
-	189 743 193 752
9 	193 743 201 752
and 	204 743 225 752
its 	227 743 240 752
instructions	245 743 308 752
, 	308 743 311 752
such 	315 743 341 752
as 	344 743 356 752
legislation 	361 743 415 752
enacted	418 743 464 752
after 	89 753 114 762
they 	117 753 142 762
were 	143 753 171 762
published	174 753 229 762
, 	229 753 232 762
go 	236 753 249 762
to 	252 753 264 762
www.irs.gov/FormW9	267 753 386 762
.	384 753 390 762
Purpose 	90 770 163 782
of 	169 770 186 782
Form	192 770 237 782
An 	87 787 112 796
individual 	106 787 160 796
or 	164 787 175 796
entity 	178 787 209 796
(	210 787 215 796
Form 	215 787 244 796
W	246 787 259 796
-	259 787 263 796
9 	262 787 270 796
requester	274 787 326 796
) 	324 787 328 796
who 	331 787 355 796
is 	358 787 368 796
required 	371 787 417 796
to 	419 787 431 796
file 	434 787 450 796
an	453 787 467 796
information 	87 797 152 806
return 	155 797 186 805
with 	190 797 214 805
the 	217 797 234 805
IRS 	238 797 258 805
must 	261 797 289 805
obtain 	292 797 325 805
your 	328 797 353 805
correct 	356 797 396 805
taxpayer	398 797 447 805
identification 	88 807 160 816
number 	164 807 207 816
(	209 807 215 816
TIN	212 807 232 816
) 	231 807 234 816
which 	237 807 271 816
may 	274 807 298 816
be 	298 807 315 816
your 	317 807 342 816
social 	346 807 376 816
security 	381 807 424 816
number	427 807 469 816
(	86 816 96 825
SSN	92 816 118 825
)	117 816 122 825
, 	122 816 125 825
individual 	129 816 179 825
taxpayer 	183 816 232 825
identification 	235 816 304 825
number 	308 816 350 825
(	352 816 356 825
ITIN	356 816 378 825
)	379 816 382 825
, 	383 816 385 825
adoption	389 816 437 825
taxpayer 	86 826 138 836
identification 	140 826 212 836
number 	215 826 257 836
(	259 826 264 836
ATIN	264 826 289 836
)	290 826 293 836
, 	295 826 297 836
or 	301 826 312 836
employer 	315 826 367 836
identification 	370 826 439 836
number	443 826 486 836
(	87 836 94 845
EIN	92 836 113 845
)	112 836 117 845
, 	116 836 120 845
to 	123 836 134 845
report 	138 836 170 845
on 	174 836 187 845
an 	191 836 204 845
information 	208 836 270 845
return 	274 836 305 845
the 	309 836 326 845
amount 	329 836 371 845
paid 	375 836 398 845
to 	402 836 414 845
you	415 836 436 845
, 	436 836 439 845
or 	443 836 455 845
other	458 836 487 845
amount 	88 846 134 855
reportable 	134 846 191 854
on 	195 846 208 854
an 	212 846 226 854
information 	229 846 290 854
return	295 846 325 854
. 	327 846 328 854
Examples 	333 846 387 854
of 	390 846 402 854
information	405 846 466 854
returns 	88 856 129 865
include	130 856 171 865
, 	171 856 174 865
but 	178 856 196 865
are 	199 856 217 865
not 	221 856 239 865
limited 	240 856 278 865
to	281 856 293 865
, 	292 856 295 865
the 	299 856 317 865
following	320 856 370 865
.	369 856 374 865
• 	89 869 98 878
Form 	98 869 128 878
1099	132 869 160 878
-	160 869 163 878
INT 	164 869 183 878
(	186 869 189 878
interest 	189 869 230 878
earned 	234 869 272 878
or 	275 869 287 878
paid	289 869 314 878
)	313 869 317 878
Cat	391 897 413 903
. 	410 897 413 903
No. 	415 897 432 903
10231X	435 897 472 903
Date 	630 662 654 682
18-09-1999	675 662 868 681
• 	521 691 529 701
Form 	531 691 559 700
1099	563 691 590 700
-	590 691 594 700
DIV 	594 691 615 700
(	617 691 621 700
dividends	621 691 674 700
, 	674 691 677 700
including 	681 691 730 700
those 	734 691 764 700
from 	767 691 792 700
stocks 	795 691 832 700
or 	835 691 847 700
mutual	849 691 887 700
funds	519 701 555 710
)	548 701 556 709
• 	521 714 529 723
Form 	531 713 559 723
1099	564 713 590 723
-	591 713 594 723
MISC 	595 713 626 723
(	629 713 632 723
various 	632 713 671 723
types 	675 713 705 723
